source_class_id,source_class,source_description,current_status,latest_record_count,latest_checked_at,access_score,freshness_score,evidence_mode,public_read
source_class_chain_and_protocol_context,Chain and protocol context,"Public chain, protocol, and network context from reputable third-party aggregators.",ok,4,2026-06-30T10:03:50.297Z,Usable,Current enough for latest checkpoint,api_or_scripted_collection,Latest collection succeeded and is current enough for this checkpoint.
source_class_dex_activity_and_liquidity,Decentralized exchange activity and liquidity,"Public DEX pair, volume, transaction, and liquidity context from reputable third-party aggregators.",ok,13,2026-06-30T10:03:50.297Z,Usable,Current enough for latest checkpoint,api_or_scripted_collection,Latest collection succeeded and is current enough for this checkpoint.
source_class_exchange_price_data,Exchange price and historical market data,"Timestamped prices, returns, and replay context from reputable third-party market-data sources.",ok,2192,2026-06-30T10:03:36.542Z,Usable,Current enough for latest checkpoint,market_data_or_historical_replay,Latest collection succeeded and is current enough for this checkpoint.
source_class_foreign_language_attention,Foreign-language news attention,Regional-language news or feed attention normalized into counts and sentiment-like context.,ok,63,2026-06-26T14:32:44.338Z,"Usable historically, needs refresh",Stale for current checkpoint evidence,api_or_scripted_collection,"Latest collection succeeded earlier, but it needs a fresh run before being used as current evidence."
source_class_market_data_and_trending,Market data and public attention rankings,"Market, volume, and attention context from reputable third-party crypto data sources.",ok,39,2026-06-30T10:03:37.336Z,Usable,Current enough for latest checkpoint,api_or_scripted_collection,Latest collection succeeded and is current enough for this checkpoint.
source_class_dashboard_ranking,Refreshed third-party dashboard ranking,"A structured extraction from a refreshed third-party dashboard ranking or table, published only as normalized observations.",ok,71,2026-06-28T23:08:00.000Z,"Usable historically, needs refresh",Stale for current checkpoint evidence,visual_capture,"Latest collection succeeded earlier, but it needs a fresh run before being used as current evidence."
source_class_regional_premium_or_discount,Regional premium or discount,"Regional-market price comparison against a broad global reference, normalized from reputable third-party sources.",ok,5,2026-06-30T10:03:50.507Z,Usable,Current enough for latest checkpoint,api_or_scripted_collection,Latest collection succeeded and is current enough for this checkpoint.
source_class_social_onchain_development_context,"Social, on-chain, and development context","Social attention, network activity, and development context from reputable third-party analytics sources.",ok,9,2026-06-26T18:08:41.562Z,"Usable historically, needs refresh",Stale for current checkpoint evidence,api_or_visual_capture,"Latest collection succeeded earlier, but it needs a fresh run before being used as current evidence."
source_class_source_feature,Third-party source feature,"A normalized feature from a reputable third-party source, with raw source payloads kept out of the public package.",ok,8,2026-06-29T01:03:52.205Z,"Usable, but not current","Recent context, not current checkpoint evidence",api_or_scripted_collection,"Latest collection succeeded, but it should be treated as context unless refreshed."
source_class_wallet_or_large_holder_context,Wallet or large-holder context,"Wallet, holder, or smart-money-style context from reputable third-party analytics dashboards.",ok,15,2026-06-26T14:34:00.000Z,"Usable historically, needs refresh",Stale for current checkpoint evidence,visual_capture,"Latest collection succeeded earlier, but it needs a fresh run before being used as current evidence."
