lead_type,asset,pattern_label,signal_family,sample_count,horizon,avg_net_return_pct,hit_rate_pct,sample_quality,interpretation,next_test
asset_specific,AVAX,Weak market rejection,Rejected weak-market pattern,11,4 hours,1.45,72.73,Early sample,"Positive so far, but needs more examples.",Check whether this asset-specific result beats the asset's own no-clear-clue baseline.
asset_specific,DOT,Weak market rejection,Rejected weak-market pattern,11,4 hours,1.43,81.82,Early sample,"Positive so far, but needs more examples.",Check whether this asset-specific result beats the asset's own no-clear-clue baseline.
asset_specific,LINK,Weak market rejection,Rejected weak-market pattern,11,4 hours,1.31,90.91,Early sample,"Positive so far, but needs more examples.",Check whether this asset-specific result beats the asset's own no-clear-clue baseline.
asset_specific,HBAR,Weak market rejection,Rejected weak-market pattern,11,4 hours,1.14,100,Early sample,"Positive so far, but needs more examples.",Check whether this asset-specific result beats the asset's own no-clear-clue baseline.
asset_specific,SOL,Weak market rejection,Rejected weak-market pattern,11,4 hours,1.04,90.91,Early sample,"Positive so far, but needs more examples.",Check whether this asset-specific result beats the asset's own no-clear-clue baseline.
asset_specific,DOGE,Weak market rejection,Rejected weak-market pattern,11,4 hours,1.03,90.91,Early sample,"Positive so far, but needs more examples.",Check whether this asset-specific result beats the asset's own no-clear-clue baseline.
pattern,,"Weak market, later bounce",contrarian,125,4 hours,1.02,80,Stronger sample,"Worth watching, but only for this pattern and horizon.",Keep collecting forward examples and test whether the result survives outside replay.
asset_specific,SHIB,Weak market rejection,Rejected weak-market pattern,11,4 hours,0.91,81.82,Early sample,"Positive so far, but needs more examples.",Check whether this asset-specific result beats the asset's own no-clear-clue baseline.
pattern,,"Sharp drop, later bounce",contrarian,25,4 hours,0.9,72,Early sample,"Positive so far, but needs more examples.",Keep collecting forward examples and test whether the result survives outside replay.
asset_specific,ADA,Weak market rejection,Rejected weak-market pattern,11,4 hours,0.9,72.73,Early sample,"Positive so far, but needs more examples.",Check whether this asset-specific result beats the asset's own no-clear-clue baseline.
asset_specific,LTC,Weak market rejection,Rejected weak-market pattern,15,4 hours,0.88,73.33,Early sample,"Positive so far, but needs more examples.",Check whether this asset-specific result beats the asset's own no-clear-clue baseline.
asset_specific,XLM,Weak market rejection,Rejected weak-market pattern,11,4 hours,0.81,63.64,Early sample,"Positive so far, but needs more examples.",Check whether this asset-specific result beats the asset's own no-clear-clue baseline.
