asset,asset_name,asset_group,pattern_label,internal_database_label,signal_family,horizon,sample_count,avg_net_1h_pct,hit_rate_1h_pct,avg_net_return_pct,median_net_return_pct,hit_rate_pct,avg_net_24h_pct,hit_rate_24h_pct,baseline_comparison,sample_quality,interpretation_bucket,plain_english_read,source_evidence_type
AVAX,Avalanche,High-volatility layer-1,Weak market rejection,reject,Rejected weak-market pattern,4 hours,11,-0.1,54.55,1.45,,72.73,-1.48,36.36,Compare against the no-clear-signal row for the same asset.,Early sample,"Promising, still early","Positive so far, but needs more examples.",backtest_replay
DOT,Polkadot,Developer and ecosystem,Weak market rejection,reject,Rejected weak-market pattern,4 hours,11,-0.09,54.55,1.43,,81.82,-0.38,45.45,Compare against the no-clear-signal row for the same asset.,Early sample,"Promising, still early","Positive so far, but needs more examples.",backtest_replay
LINK,Chainlink,Developer and infrastructure,Weak market rejection,reject,Rejected weak-market pattern,4 hours,11,-0.23,45.45,1.31,,90.91,0.12,54.55,Compare against the no-clear-signal row for the same asset.,Early sample,"Promising, still early","Positive so far, but needs more examples.",backtest_replay
HBAR,Hedera,Developer and infrastructure,Weak market rejection,reject,Rejected weak-market pattern,4 hours,11,0.01,63.64,1.14,,100,-0.15,36.36,Compare against the no-clear-signal row for the same asset.,Early sample,"Promising, still early","Positive so far, but needs more examples.",backtest_replay
SOL,Solana,Fast-moving major altcoin,Weak market rejection,reject,Rejected weak-market pattern,4 hours,11,-0.26,36.36,1.04,,90.91,-0.02,54.55,Compare against the no-clear-signal row for the same asset.,Early sample,"Promising, still early","Positive so far, but needs more examples.",backtest_replay
DOGE,Dogecoin,Meme and attention,Weak market rejection,reject,Rejected weak-market pattern,4 hours,11,-0.21,45.45,1.03,,90.91,-0.2,45.45,Compare against the no-clear-signal row for the same asset.,Early sample,"Promising, still early","Positive so far, but needs more examples.",backtest_replay
SHIB,Shiba Inu,Meme and attention,Weak market rejection,reject,Rejected weak-market pattern,4 hours,11,-0.32,45.45,0.91,,81.82,-0.45,63.64,Compare against the no-clear-signal row for the same asset.,Early sample,"Promising, still early","Positive so far, but needs more examples.",backtest_replay
ADA,Cardano,Large-cap altcoin,Weak market rejection,reject,Rejected weak-market pattern,4 hours,11,-0.23,45.45,0.9,,72.73,-0.3,36.36,Compare against the no-clear-signal row for the same asset.,Early sample,"Promising, still early","Positive so far, but needs more examples.",backtest_replay
LTC,Litecoin,Legacy liquidity,Weak market rejection,reject,Rejected weak-market pattern,4 hours,15,-0.37,40,0.88,,73.33,0.64,53.33,Compare against the no-clear-signal row for the same asset.,Early sample,"Promising, still early","Positive so far, but needs more examples.",backtest_replay
XLM,Stellar Lumens,Payments and network,Weak market rejection,reject,Rejected weak-market pattern,4 hours,11,-0.22,54.55,0.81,,63.64,-3.5,9.09,Compare against the no-clear-signal row for the same asset.,Early sample,"Promising, still early","Positive so far, but needs more examples.",backtest_replay
XRP,XRP,Headline-sensitive asset,Weak market rejection,reject,Rejected weak-market pattern,4 hours,11,-0.17,36.36,0.43,,63.64,-1.5,0,Compare against the no-clear-signal row for the same asset.,Early sample,"Promising, still early","Positive so far, but needs more examples.",backtest_replay
SOL,Solana,Fast-moving major altcoin,Original breakout watch,paper_watch,Original breakout pattern,4 hours,70,-0.2,30,-0.35,,32.86,-0.84,37.14,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
HBAR,Hedera,Developer and infrastructure,No clear signal,no_signal,Baseline,4 hours,76,-0.24,30.26,-0.37,,34.21,-1.4,19.74,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
BTC,Bitcoin,Broad market,Broad market context,regime,Broad market context,4 hours,194,-0.29,19.59,-0.41,,31.44,-1.17,35.57,Compare against the no-clear-signal row for the same asset.,Stronger sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
LINK,Chainlink,Developer and infrastructure,Original breakout watch,paper_watch,Original breakout pattern,4 hours,72,-0.23,27.78,-0.41,,36.11,-1.55,19.44,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
LTC,Litecoin,Legacy liquidity,Original breakout trigger,paper_candidate,Original breakout pattern,4 hours,7,-0.26,14.29,-0.45,,42.86,-0.61,14.29,Compare against the no-clear-signal row for the same asset.,Tiny sample,Too small to judge,Interesting only; the sample is too small.,backtest_replay
AVAX,Avalanche,High-volatility layer-1,No clear signal,no_signal,Baseline,4 hours,86,-0.38,32.56,-0.45,,39.53,-0.34,55.81,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
ETH,Ethereum,Broad market,Broad market context,regime,Broad market context,4 hours,194,-0.3,21.65,-0.45,,41.24,-1.44,30.93,Compare against the no-clear-signal row for the same asset.,Stronger sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
DOGE,Dogecoin,Meme and attention,Original breakout watch,paper_watch,Original breakout pattern,4 hours,72,-0.26,22.22,-0.45,,34.72,-1.69,19.44,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
AVAX,Avalanche,High-volatility layer-1,Original breakout watch,paper_watch,Original breakout pattern,4 hours,69,-0.19,37.68,-0.46,,33.33,-1.11,43.48,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
XRP,XRP,Headline-sensitive asset,No clear signal,no_signal,Baseline,4 hours,79,-0.33,21.52,-0.47,,27.85,-1.56,16.46,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
LTC,Litecoin,Legacy liquidity,Original breakout watch,paper_watch,Original breakout pattern,4 hours,87,-0.24,26.44,-0.53,,31.03,-1.08,35.63,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
SOL,Solana,Fast-moving major altcoin,No clear signal,no_signal,Baseline,4 hours,84,-0.35,33.33,-0.56,,40.48,-1.07,33.33,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
ADA,Cardano,Large-cap altcoin,No clear signal,no_signal,Baseline,4 hours,90,-0.31,36.67,-0.58,,35.56,-1.86,18.89,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
XRP,XRP,Headline-sensitive asset,Original breakout watch,paper_watch,Original breakout pattern,4 hours,75,-0.3,18.67,-0.6,,24,-1.58,21.33,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
DOT,Polkadot,Developer and ecosystem,No clear signal,no_signal,Baseline,4 hours,87,-0.38,31.03,-0.6,,34.48,-1.86,21.84,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
HBAR,Hedera,Developer and infrastructure,Original breakout watch,paper_watch,Original breakout pattern,4 hours,81,-0.35,23.46,-0.62,,25.93,-1.64,9.88,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
LINK,Chainlink,Developer and infrastructure,No clear signal,no_signal,Baseline,4 hours,82,-0.36,26.83,-0.64,,37.8,-1.29,26.83,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
XLM,Stellar Lumens,Payments and network,No clear signal,no_signal,Baseline,4 hours,103,-0.33,31.07,-0.64,,33.01,-3.6,11.65,Compare against the no-clear-signal row for the same asset.,Stronger sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
SHIB,Shiba Inu,Meme and attention,No clear signal,no_signal,Baseline,4 hours,87,-0.31,14.94,-0.65,,20.69,-1.92,4.6,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
LTC,Litecoin,Legacy liquidity,No clear signal,no_signal,Baseline,4 hours,85,-0.37,22.35,-0.66,,34.12,-1.87,23.53,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
ADA,Cardano,Large-cap altcoin,Original breakout watch,paper_watch,Original breakout pattern,4 hours,67,-0.33,20.9,-0.68,,23.88,-2.3,13.43,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
DOT,Polkadot,Developer and ecosystem,Original breakout watch,paper_watch,Original breakout pattern,4 hours,67,-0.27,35.82,-0.69,,25.37,-1.98,17.91,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
SHIB,Shiba Inu,Meme and attention,Original breakout watch,paper_watch,Original breakout pattern,4 hours,51,-0.38,23.53,-0.7,,23.53,-2.16,7.84,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
DOGE,Dogecoin,Meme and attention,No clear signal,no_signal,Baseline,4 hours,81,-0.39,22.22,-0.77,,25.93,-2.06,17.28,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
SOL,Solana,Fast-moving major altcoin,Original breakout trigger,paper_candidate,Original breakout pattern,4 hours,4,-0.43,50,-0.81,,25,-0.99,50,Compare against the no-clear-signal row for the same asset.,Tiny sample,Too small to judge,Interesting only; the sample is too small.,backtest_replay
XLM,Stellar Lumens,Payments and network,Original breakout watch,paper_watch,Original breakout pattern,4 hours,54,-0.4,27.78,-1,,24.07,-4.05,9.26,Compare against the no-clear-signal row for the same asset.,Usable sample,Not useful so far,Has not beaten the cost hurdle in this slice.,backtest_replay
XRP,XRP,Headline-sensitive asset,Original breakout trigger,paper_candidate,Original breakout pattern,4 hours,4,-0.45,50,-1.03,,25,-2.85,0,Compare against the no-clear-signal row for the same asset.,Tiny sample,Too small to judge,Interesting only; the sample is too small.,backtest_replay
DOGE,Dogecoin,Meme and attention,Original breakout trigger,paper_candidate,Original breakout pattern,4 hours,5,-0.3,60,-1.11,,20,-4.22,0,Compare against the no-clear-signal row for the same asset.,Tiny sample,Too small to judge,Interesting only; the sample is too small.,backtest_replay
SHIB,Shiba Inu,Meme and attention,Original breakout trigger,paper_candidate,Original breakout pattern,4 hours,3,-0.18,66.67,-1.51,,0,-4.05,0,Compare against the no-clear-signal row for the same asset.,Tiny sample,Too small to judge,Interesting only; the sample is too small.,backtest_replay
LINK,Chainlink,Developer and infrastructure,Original breakout trigger,paper_candidate,Original breakout pattern,4 hours,4,-0.44,50,-1.61,,0,-5.13,0,Compare against the no-clear-signal row for the same asset.,Tiny sample,Too small to judge,Interesting only; the sample is too small.,backtest_replay
DOT,Polkadot,Developer and ecosystem,Original breakout trigger,paper_candidate,Original breakout pattern,4 hours,3,-0.63,33.33,-1.65,,0,-5.93,0,Compare against the no-clear-signal row for the same asset.,Tiny sample,Too small to judge,Interesting only; the sample is too small.,backtest_replay
HBAR,Hedera,Developer and infrastructure,Original breakout trigger,paper_candidate,Original breakout pattern,4 hours,1,-1.54,0,-1.75,,0,-1.47,0,Compare against the no-clear-signal row for the same asset.,Tiny sample,Too small to judge,Interesting only; the sample is too small.,backtest_replay
AVAX,Avalanche,High-volatility layer-1,Original breakout trigger,paper_candidate,Original breakout pattern,4 hours,3,-0.4,66.67,-1.86,,0,-2.59,0,Compare against the no-clear-signal row for the same asset.,Tiny sample,Too small to judge,Interesting only; the sample is too small.,backtest_replay
ADA,Cardano,Large-cap altcoin,Original breakout trigger,paper_candidate,Original breakout pattern,4 hours,1,-2.03,0,-2.4,,0,-7.31,0,Compare against the no-clear-signal row for the same asset.,Tiny sample,Too small to judge,Interesting only; the sample is too small.,backtest_replay
XLM,Stellar Lumens,Payments and network,Original breakout trigger,paper_candidate,Original breakout pattern,4 hours,1,-1.82,0,-5.12,,0,-4.55,0,Compare against the no-clear-signal row for the same asset.,Tiny sample,Too small to judge,Interesting only; the sample is too small.,backtest_replay
