source_id,source_name,source_category,access_method,public_disclosure_level,raw_data_publication_policy,notes
coinbase_exchange_public,Coinbase Exchange public market data,exchange_price_data,public_api,derived_and_source_named,normalized_only,Used for price snapshots and historical replay context.
coinbase_exchange_public_backtest,Coinbase Exchange public historical replay,exchange_price_data,historical_public_data,derived_and_source_named,normalized_only,Historical replay rows are research evidence and not current source evidence.
coingecko_demo_api,CoinGecko,market_data_and_trending,public_or_demo_api,derived_and_source_named,normalized_only,Used for market/trending context where available.
dexscreener_public_api,DEX Screener,dex_activity_and_liquidity,public_api,derived_and_source_named,normalized_only,Used for public DEX pair and liquidity context.
defillama_free_api,DefiLlama,chain_and_protocol_context,public_api,derived_and_source_named,normalized_only,Used for chain/protocol context that may be slower-moving than price.
upbit_public,Upbit plus public FX/regional comparison,regional_premium_or_discount,public_api_or_public_pages,derived_and_source_named,normalized_only,Used for regional premium/discount context.
santiment_sanapi,Santiment SanAPI,social_onchain_development_context,free_tier_api,derived_and_source_named,normalized_only,Free-tier metrics may be lagged or limited.
visual_santiment,Santiment visual dashboard,dashboard_ranking,logged_in_or_free_visual_capture,derived_only,do_not_publish_raw_screenshot_or_full_table,Only refreshed structured extractions should count as current time-tied evidence.
visual_santiment_sanbase,Sanbase visual dashboard,dashboard_ranking,logged_in_or_free_visual_capture,derived_only,do_not_publish_raw_screenshot_or_full_table,Visual dashboard captures require refresh notes and source boundary checks.
visual_nansen,Nansen visual dashboard,wallet_or_dashboard_context,logged_in_or_free_visual_capture,derived_only,do_not_publish_raw_screenshot_or_full_table,Used only when free/logged-in views expose relevant current context.
visual_coingecko,CoinGecko visual pages,market_data_and_trending,public_visual_capture,derived_only,do_not_publish_raw_screenshot_or_full_table,Visual captures should be refreshed before use as current evidence.
blockmedia_ko,Blockmedia Korean public feed,foreign_language_attention,public_rss_or_public_page,derived_and_source_named,normalized_only,Used as a Korean-language attention proxy.
tokenpost_ko,TokenPost Korean public feed,foreign_language_attention,public_rss_or_public_page,derived_and_source_named,normalized_only,Used as a Korean-language attention proxy.
coindesk_japan_ja,CoinDesk Japan public feed,foreign_language_attention,public_rss_or_public_page,derived_and_source_named,normalized_only,Used as a Japanese-language attention proxy.
coinpost_ja,CoinPost public feed,foreign_language_attention,public_rss_or_public_page,derived_and_source_named,normalized_only,Used as a Japanese-language attention proxy.
forklog_ru,ForkLog public feed,foreign_language_attention,public_rss_or_public_page,derived_and_source_named,normalized_only,Used as a Russian-language attention proxy.
crypto_pop_lab_strategy_tournament,Local Source Lab replay/tournament engine,research_summary,local_derived_analysis,derived_only,normalized_only,Used for research leads only, not trading authorization.
