observed_at_utc,asset,asset_name,asset_group,pair_symbol,clue_label,internal_database_label,signal_family,clue_definition,evidence_source,evidence_mode,regime,hard_block,price_at_observation,prior_1h_return_pct,prior_4h_return_pct,prior_24h_return_pct,distance_from_prior_24h_high_pct,distance_from_prior_24h_low_pct,forward_1h_raw_pct,forward_4h_raw_pct,forward_24h_raw_pct,estimated_cost_pct,forward_4h_after_cost_pct,positive_after_costs_4h,max_favorable_4h_pct,max_adverse_4h_pct,reason,public_run_id
2026-06-17T21:00:00.000Z,ADA,Cardano,Large-cap altcoin,ADA-USD,Original breakout watch,paper_watch,Original breakout pattern,"The original breakout rule saw something worth tracking, but did not reach its stronger trigger.",historical_replay_from_public_exchange_price_data,historical_replay,mixed / weak,0,0.1671,1.09,-2.22,-4.41,-4.73,1.52,-0.66,-0.06,-2.27,0.25,-0.31,no,0.36,-2.03,Potential reversal reclaim; not a breakout yet.,run-bfe04e1c4079b7
2026-06-17T21:00:00.000Z,AVAX,Avalanche,High-volatility layer-1,AVAX-USD,Original breakout watch,paper_watch,Original breakout pattern,"The original breakout rule saw something worth tracking, but did not reach its stronger trigger.",historical_replay_from_public_exchange_price_data,historical_replay,mixed / weak,0,6.78,0.89,-1.88,-2.16,-3.28,1.19,-0.59,-0.15,-6.49,0.25,-0.4,no,0.15,-1.92,Potential reversal reclaim; not a breakout yet.,run-bfe04e1c4079b7
2026-06-17T21:00:00.000Z,BTC,Bitcoin,Broad market,BTC-USD,Broad market context,regime,Broad market context,The broad Bitcoin/Ethereum market context was itself the scored condition.,historical_replay_from_public_exchange_price_data,historical_replay,mixed / weak,0,64370.66,0.2,-2.18,-2.16,-3.03,0.6,-0.27,0.05,-2.11,0.25,-0.2,no,0.43,-0.81,Regime asset only.,run-bfe04e1c4079b7
2026-06-17T21:00:00.000Z,DOGE,Dogecoin,Meme and attention,DOGE-USD,Original breakout watch,paper_watch,Original breakout pattern,"The original breakout rule saw something worth tracking, but did not reach its stronger trigger.",historical_replay_from_public_exchange_price_data,historical_replay,mixed / weak,0,0.08615,0.94,-0.99,-1.66,-2.14,1.42,-0.73,0,-3.26,0.25,-0.25,no,0.14,-1.81,Potential reversal reclaim; not a breakout yet.,run-bfe04e1c4079b7
2026-06-17T21:00:00.000Z,DOT,Polkadot,Developer and ecosystem,DOT-USD,Original breakout watch,paper_watch,Original breakout pattern,"The original breakout rule saw something worth tracking, but did not reach its stronger trigger.",historical_replay_from_public_exchange_price_data,historical_replay,mixed / weak,0,1.007,1,-1.95,-1.37,-3.36,1.41,-0.7,-0.5,-3.48,0.25,-0.75,no,0,-2.09,Potential reversal reclaim; not a breakout yet.,run-bfe04e1c4079b7
2026-06-17T21:00:00.000Z,ETH,Ethereum,Broad market,ETH-USD,Broad market context,regime,Broad market context,The broad Bitcoin/Ethereum market context was itself the scored condition.,historical_replay_from_public_exchange_price_data,historical_replay,mixed / weak,0,1745.79,0.72,-1.4,-2.81,-3.5,1.05,-0.49,0.32,-2.13,0.25,0.07,yes,0.69,-1.26,Regime asset only.,run-bfe04e1c4079b7
2026-06-17T21:00:00.000Z,HBAR,Hedera,Developer and infrastructure,HBAR-USD,Original breakout watch,paper_watch,Original breakout pattern,"The original breakout rule saw something worth tracking, but did not reach its stronger trigger.",historical_replay_from_public_exchange_price_data,historical_replay,mixed / weak,0,0.08027,0.68,-1.39,-1.56,-2.54,1.22,-0.04,0.55,0.07,0.25,0.3,yes,2.08,-1.11,Potential reversal reclaim; not a breakout yet.,run-bfe04e1c4079b7
2026-06-17T21:00:00.000Z,LINK,Chainlink,Developer and infrastructure,LINK-USD,Original breakout watch,paper_watch,Original breakout pattern,"The original breakout rule saw something worth tracking, but did not reach its stronger trigger.",historical_replay_from_public_exchange_price_data,historical_replay,mixed / weak,0,8.094,0.82,-2.05,-2.74,-3.72,1.25,-0.78,-0.17,-1.4,0.25,-0.42,no,0.28,-2.01,Potential reversal reclaim; not a breakout yet.,run-bfe04e1c4079b7
2026-06-17T21:00:00.000Z,LTC,Litecoin,Legacy liquidity,LTC-USD,Original breakout watch,paper_watch,Original breakout pattern,"The original breakout rule saw something worth tracking, but did not reach its stronger trigger.",historical_replay_from_public_exchange_price_data,historical_replay,mixed / weak,0,45.01,0.54,-1.19,-1.4,-2.24,1.03,-0.6,-0.58,-3.02,0.25,-0.83,no,0.04,-1.47,Potential reversal reclaim; not a breakout yet.,run-bfe04e1c4079b7
2026-06-17T21:00:00.000Z,SHIB,Shiba Inu,Meme and attention,SHIB-USD,Original breakout watch,paper_watch,Original breakout pattern,"The original breakout rule saw something worth tracking, but did not reach its stronger trigger.",historical_replay_from_public_exchange_price_data,historical_replay,mixed / weak,0,0.00000495,1.02,-1,-0.8,-1.98,1.64,-0.4,-0.2,-4.24,0.25,-0.45,no,0.61,-1.62,Potential reversal reclaim; not a breakout yet.,run-bfe04e1c4079b7
